Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
49126,1850465544,1,0.0,1.0,6,0,6,2022-06-07,Not pleased with this at all. The description says non greasy but it made us all look like we had greasy hair. My scalp is more fried than it ever has been like this attracted the sun.,,mediumTan,hazel,oily,blonde,P483078,COOLA Scalp & Hair Mist Organic Sunscreen SPF 30,COOLA,28.0
35706,1317646823,5,1.0,1.0,3,0,3,2022-08-12,"Took a little getting used to, it’s thick and the first couple times I tried I put on too much. I see other reviews saying it was drying and I think different ingredients must work better or worse for different people because most every lip balm and color leaves me dry, Aquaphor keeps my lips going (not better or worse), but this... actually seems to make them better?! They don’t feel dry and between applications they feel softer. I’m a fan. Buying another one so I can have one in my purse and one in my nightstand.",Works great for me!,mediumTan,brown,combination,brown,P474970,Hyaluronic Acid + Peptide Lip Treatment Booster,Paula's Choice,32.0
3396,6457758107,5,1.0,1.0,10,0,10,2021-03-11,"I am on my eight bottle of this sunscreen already and will continue to use this sunscreen until they stop making it (please Paula’s Choice NEVER STOP making this)!  This sunscreen has it all.  The percentage zinc oxide (13%) offers amazing physical protection and the formula is great for sensitive skin.  It dries matte, but if you wear it over a heavier cream it stays luminous.  This is my holy grail sunscreen!!!!! I cannot praise it enough.",,light,Grey,combination,blonde,P469524,RESIST Super-Light Daily Wrinkle Defense SPF 30,Paula's Choice,37.0
35018,2868552931,3,0.0,1.0,11,0,11,2020-05-11,"Very moisturizing and decadent. It absorbs into the skin really well, so after 15-20 minutes there is hardly any left on your skin. Skins feels baby soft.  However, I don’t have dry skin so for this price I don’t think it is worth it (at least for me). I like it enough to not return but not enough to repurchase",,fair,green,combination,blonde,P448711,Face Mask,Dr. Barbara Sturm,125.0
1566,1553656527,5,1.0,1.0,2,0,2,2022-08-11,Love this product! Been using their spray for years and this scent is so nice.. it smells citrusy and like summer!,,mediumTan,brown,combination,brown,P500778,N°39 Facial Sunscreen Mist with SPF 39,HABIT,30.0
292,7555767343,3,1.0,0.1785710006952285,28,23,5,2020-12-01,Facial oil is great - especially heading into the cold weather however I would not buy it again at Sephora since no samples arrived with the order,,fair,blue,combination,blonde,P422003,Daily Reviving Concentrate,Kiehl's Since 1851,59.0
36906,30216803960,5,1.0,,0,0,0,2022-03-15,"I was skeptical about whether or not a rubber ball would be helpful for a facial massage pro like me...that’s why I tried this. It was gifted complimentary from facegym. I was surprised and pleased at how out immediately worked muscles/myofascial tissue that really needed attention. As someone who holds a lot of tension in her face, this is important. I also love that it’s gentle but still works!",Gentle and effective tension release,fair,blue,normal,blonde,P476680,Face Ball Tension Release Tool,FaceGym,35.0
34855,9359015438,5,1.0,0.8888890147209167,18,2,16,2020-09-07,"This brush feels delicious on your skin!! If you’re someone that likes scratches, this literally feels so good. Gets all your dead skin cells off (you can see them in the air coming off as you use this) perfect for right before the shower or bed time and then applying lotion on after. It just feels SO good, I love this product and would never consider switching to a different dry brush. It’s supposed to be good for cellulite and stretch marks but I think seeing results of this will take time. However, because the brush feels so good on your skin, it makes the act of dry brushing your body encouraging to use. Best purchase of 2020",Feels delicious on your skin!!,lightMedium,brown,combination,brown,P458964,G.Tox Ultimate Dry Brush,goop,25.0
43976,2642746322,5,1.0,,0,0,0,2023-03-18,"This is my first time using this brand and I loved using this product! It definitely gives a nice plump pout to the lips. Definitely use this consistently for a couple days to see results, applicator is nice too.",,,brown,dry,,P505140,Plumping High Performance Lip Filler with Hyaluronic Acid,MACRENE actives,95.0
35756,2100853319,5,1.0,1.0,2,0,2,2019-04-08,"Amazing. Bought this for my daughter who was out of another brand, which was not available.  Since using this cream, she reports her acne  has significantly improved. She wants to permanently switch.  well worth the money.",,lightMedium,brown,combination,brown,P422648,DayWear Matte Oil-Control Anti-Oxidant Moisturizer Gel Creme,Estée Lauder,59.0
16423,1403859922,5,1.0,1.0,5,0,5,2017-11-18,"Wonderfully creamy with a lovely scent that is not overpowering. Cleans my skin perfectly and leaves it feeling soft, not tight. This is my new forever cleanser!",Perfect product,fair,green,oily,brown,P377919,Plantscription Anti-Aging Cleanser,Origins,36.0
22125,1329586486,3,0.0,0.7115380167961121,52,15,37,2020-10-04,I really love these pillow cases..except they are starting to break after less than a year.  The material is tearing around the “Slip” embroidery.  I wash them on gentle and barely put them in the dryer.  I’m really disappointed.,tears in less than a year,lightMedium,brown,combination,brown,P402943,Silk Pillowcase - King,Slip,110.0
24947,10509148302,4,1.0,0.6875,16,5,11,2019-03-01,"This product definitely works-- I saw results after a single use. It smells lovely and feels really soft and gentle on the skin. However, it has not yet completely cleared up all of my acne. After about a month of using the cleanser once or twice a day my skin is better, but it is not as much of an improvement as I had hoped for.",Good!! ...but not perfect,fair,blue,dry,brown,P440490,Acne Facial Cleanser,Mario Badescu,15.0
13315,5110206581,4,1.0,0.3333329856395721,9,6,3,2019-04-12,Smells like smoked salmon,Great for skin bad for nose,fair,blue,combination,blonde,P440317,Potent-C Vitamin C Bright & Plump Moisturizer,Peter Thomas Roth,72.0
12000,35155118911,5,1.0,0.0,1,1,0,2022-04-13,"I’ve always been hesitant to use retinol because of my sensitive and dry skin, so I was excited to try a retinol alternative. So far my skin hasn’t freaked out while using Moon Fruit! It layers quite nicely with the rest of my nighttime routine and my skin feels less dry when I wake up in the morning.",Sensitive skin approved~,lightMedium,brown,dry,brown,P483661,Moon Fruit 1% Bakuchiol + Peptides Retinol Alternative Serum,Herbivore,62.0
48223,1330750144,1,0.0,0.4285709857940674,28,16,12,2023-03-13,This cleanser made my skin reactive and I didn’t realize how much fragrance it had when I purchased. It’s loaded with essential oils and also “parfum” and crazy they expect people to rub around their eyes with this!,,light,blue,combination,brown,P504880,Melt Awf Jelly Oil Makeup-Melting Cleanser,Fenty Skin,34.0
3184,5488715033,4,1.0,,0,0,0,2023-01-26,I was not expecting this product to have such a strong spice scent. The packaging is very innovative and boho looking. A little product definitely goes a long way and the experience of using it is very spa like.,Spice scent is not my favorite,,brown,combination,,P504277,Face Stone Nourishing Solid Refillable Facial Oil with Tamanu + Blue Tansy,Kate McLeod,68.0
3154,21531599871,4,1.0,,0,0,0,2023-02-06,"Love this face moisturizer, but it’s not travel-friendly because it’s bulky to carry around. It melts into the skin effortlessly and it does not feel greasy at all. I love how it is lightweight. It feels as if I didn’t even put anything on my face once it’s absorbed.",,fair,brown,combination,black,P504277,Face Stone Nourishing Solid Refillable Facial Oil with Tamanu + Blue Tansy,Kate McLeod,68.0
22060,9967306826,5,1.0,,0,0,0,2022-01-20,"Gifted by Kate Somerville. The package is cute and easy to apply, lightweight, helps to reduce the size of post-acne marks, which bothers me a lot, definitely helps to speed the whole acne cycle, it also helps with reducing blemish size and redness, I guess because of salicylic acid.",,light,brown,dry,black,P479701,EradiKate Acne Mark Fading Gel with Salicylic Acid,Kate Somerville,68.0
32225,7448889424,5,1.0,,0,0,0,2019-08-08,My face has never been softer!!! It’s a must HAVE! Best night cream I’ve ever used.,def a must have!!!!,fair,brown,combination,black,P440501,Seaweed Night Cream,Mario Badescu,22.0
19802,1049257137,5,1.0,0.7333329916000366,15,4,11,2022-04-18,"I love this powder! I like to mix it into my face masks to give them an extra boost. My favorite mask to mix it in is the Topicals Like Butter mask. I mix in a hefty scoop of powder and mix it in my palm before applying to my face, I leave it on for 20-30 minutes and it really brightens my skin!",great mask mix in,fair,brown,combination,brown,P468709,100% Niacinamide Powder,The Ordinary,6.4
16768,1307233586,3,0.0,,0,0,0,2020-10-06,I wasn’t really impressed with this product I was hoping I would be. The pump part of product is faulty it worked when it wanted. The texture of cream was like any other cream you would find that would be cheaper. I didn’t see any major change underneath my eye and used product for several nights before writing review. Overall not impressed.,Not impressed,mediumTan,brown,combination,brown,P464237,Retinol Recovery Eye Cream,Dr. Zenovia Skincare,64.0
42275,1023767811,4,1.0,0.699999988079071,10,3,7,2022-05-04,I wanted to give this 5 stars but I found that my skin was still a bit dry after using this. I’ve been told it’s the niacinamide and to alternate with another lotion to ease it in. That helped significantly.  I want to try the soothing cream next to see if that works better. The eye cream is amazeballs!,Yes but ease into it.,fairLight,blue,combination,blonde,P470510,Mini The Rich Cream with TFC8 Face Moisturizer,Augustinus Bader,92.0
35528,31984011114,1,0.0,1.0,2,0,2,2022-02-21,"Oh man peels every. freaking. time regardless if i wear something under or not. I saw all the good reviewsOn the full size one and wanted it to be good so bad but its so bad and so peely, doesnt sink kt",soooo peely,fair,brown,combination,brown,P472466,Mini Rose & Hyaluronic Acid Deep Hydration Moisturizer,fresh,18.0
31450,24820740861,5,1.0,1.0,2,0,2,2021-08-08,There’s a reason for the high reviews and stars. Love the advanced retinol moisturizer. My face is firmer and softer. The first few days it made me break out but now my skin is more subtle and more I moisturized. Will continue to use it and I definitely recommend,Daily must have,fair,brown,dry,brown,P474122,Advanced Retinol Nightly Renewal Face Moisturizer with Retinol,StriVectin,119.0
17239,2548641888,4,1.0,,0,0,0,2022-06-25,OK real talk. The stuff is amazing my skin feels great it looks great but that price point is something else. The thing else. This is definitely a luxury brand which you know is going to cost a pretty good amount of money. If it is in your budget then I highly suggest you try it. It’s creamy and feels great on the skin. It’s very soothing and leaves your skin looking fresh,Great Luxury Brand,lightMedium,brown,combination,brown,P482510,The Ultimate Soothing Cream,Augustinus Bader,290.0
43819,39441464992,5,1.0,1.0,3,0,3,2023-01-12,I love this product so so much I love how light it feels on my face and how the sent isn’t super duper strong I have very sensitive skin and this is about one of the only cleansers I can use without getting really irritated in the fac,,,,,,P503928,Green Tea Hyaluronic Acid Face Cleanser,innisfree,12.0
44107,7260152480,5,1.0,,0,0,0,2023-03-15,"Definitely remove my dark circles, it all it also remove the puffiness from the top of my eyelids. I have been using twice daily and I definitely see a difference. I will definitely purchase again in the future",Youthful eyes,tan,brown,combination,,P505408,GOOPGLOW Vita-C Brightening Eye Cream,goop,58.0
32106,27829619285,5,1.0,,0,0,0,2021-07-15,It’s a very mild scrub and is very amazing. It not harsh atall. Great for sensitive skin. Removes all the blackhead and white head . Would highly recommend this scrub if looking for a gentle scrub. Love it,,medium,brown,combination,black,P469527,The UnScrub Gentle Cleansing Scrub,Paula's Choice,35.0
36243,8379341669,5,1.0,0.800000011920929,5,1,4,2022-07-06,I love this scrub! I have sensitive skin with rosacea and sometimes need a more physical exfoliant to deal with buildup while still not being too rough or harsh. This product is gentle yet effectively exfoliates. Highly recommend!,,fairLight,brown,combination,auburn,P475183,So Polished Exfoliating Sugar Scrub,TULA Skincare,34.0
7598,11893109557,5,1.0,1.0,4,0,4,2020-10-15,"Love it! I don’t like that the product feels like thick Vaseline, but the results are well worth it. I see immediate results in the mornings. I can see myself using this every night for the rest of my life. There is nothing else like it that gives me such quick results.",Thick texture is well worth the immediate benefits,lightMedium,brown,combination,brown,P433519,Refillable Magic Night Moisturizer with Retinol,Charlotte Tilbury,145.0
12868,34534303008,5,1.0,,0,0,0,2022-07-22,Recently received this product and all I can say is…YES! I’ve tried other Hyaluronic Acids and they were very sticky and my skin didn’t react well but this one is what I’ve been needing! Very hydrating and makes me skin look so dewy! A new addition to my skin care routine!,A need for dry skin!,light,brown,dry,brown,P500746,Hydrating Serum with Hyaluronic Acid,First Aid Beauty,40.0
48380,5050228827,5,1.0,0.7068970203399658,58,17,41,2019-08-05,"This serum is sooooo lightweight! Your skin will drink it up. I rarely follow the box instruction and I find that a whole dropper full in a little too much to me. So I do half a dropper and it’s the perfect amount. It’s the first ever hydrating serum that I would actually repurchase. I know it’s super expensive, but it’s really worth it. I haven’t tried anything else from the line yet, but having a staple hydrating serum is a MUST in your routine.",WOW!,mediumTan,brown,oily,brown,P448548,Darker Skin Tones Hyaluronic Serum,Dr. Barbara Sturm,300.0
37908,7485949590,4,1.0,1.0,2,0,2,2021-06-03,"Love this for the days each month where my cycle makes my skin super oily and acne-packed. Using every day is overkill but this is a life saver on those days every month. Dries you right out, so definitely use with your favourite tried-and-true toner as well.",,lightMedium,brown,combination,brown,P433617,Deep Cleansing Foam,Shiseido,36.0
8528,2543991669,1,0.0,0.75,8,2,6,2022-05-19,was sold an expired product...when tried to return it I was told I should have checked to make sure it wasn’t expired. What a joke. no way to know if this really works well.,lousy customer service,light,green,combination,,P399755,GLO Lit Teeth Whitening Vials 7 Pack + Lip Care,GLO Science,49.0
43229,5644948586,5,1.0,0.6666669845581055,3,1,2,2020-12-04,Really help with my dark eye bags.  Just in few days I saw a difference. It’s a refreshing product.,Really help with my dark eye bags.,mediumTan,brown,normal,black,P464799,Potent-C Power Brightening Hydra-Gels,Peter Thomas Roth,65.0
45329,25584587647,5,1.0,1.0,19,0,19,2020-09-30,"I love this stuff! Ok about my skin:I’m 28. From 16-23 I *abused* the sun and tanning beds and lately began noticing fine lines under my eyes, sides of my eyes & mouth smile line (I also have small pigmentation flaws from the sun on my putter checks (mild but there).)But most recently, when I smile it just felt tight and dry... like I wasn’t giving a genuine smile bc I felt my skin stretching - that’s when I started looking for a *good* Moisturizer. I’m about 2-3 wks deep using now I Cerave when washing my face in the evening (moisture locking facial cleanser) and the shideido cream and it’s made a world of difference. So far, my fine lines under my eyes have DRASTICALLY improved. My fine lines weren’t that bad to begin with, so I think I just needed something that aided in diminishing appearances, but additionally- my mouth tightness is GONE. Please know I do a full on facial routine so other products may be aiding, but i really enjoy this product and believe it’s assisted in my skin texture",I love this stuff,mediumTan,brown,combination,brown,P443376,White Lucent Overnight Cream & Mask,Shiseido,110.0
14411,5571053602,5,1.0,,0,0,0,2021-01-05,This product left me feeling zen and calm. I suffer from PTSD and am always on edge. I am very thankful for this. It has been a real life saver when I feel like I am drowning. This was gifted by hum nutrition.,helps,fair,brown,combination,brown,P468149,Calm Sweet Calm Stress Management Vegan Gummies with Ashwagandha & L-Theanine,HUM Nutrition,30.0
23428,1626163372,5,1.0,1.0,1,0,1,2022-02-18,"I have many face tools, but this one gifted by FaceGym is different from the rest of my inventory. I see instant results and I see my skincare being more effective. My hyperpigmentation has lightened and I don’t wake up with a puffy face. This tool is low maintenance as well. I don’t have to charge it or store it in the freezer (unless you would like to). You can wash it before use and go. So glad I have this tool now. On top of all the benefits, it also is very relaxing for my skin.",,light,brown,combination,brown,P476679,Multi-Sculpt High-Performance Gua Sha,FaceGym,65.0
21628,1424572159,5,,1.0,6,0,6,2016-02-17,"I love Dr Brandt products , so when they discontinued the R3P cream for face and eye, I was devastated. Then I was told that it basically was repackaged and tweaked ( a little) and now called DNA. I bought it and I am super excited to say that it’s actually as good and possible better. Yes it’s expensive, and probably over packaged , but you need a little bit and would only need to buy every 4 months. Try it- you will not be let down!!",Great facial moisturizer,,,,,P383051,Do Not Age with Dr. Brandt Time Defying Cream,Dr. Brandt Skincare,132.0
32504,31061043025,5,1.0,,0,0,0,2021-11-08,This is such a great mask!  Every part of my combination skin absolutely loves it! It helps to clean and minimize the pores and brighten overall complexion without that drying effect most clay masks have. I love how it leaves my skin feeling plump and hydrated!,Combo skin Holy Grail!,fairLight,blue,combination,blonde,P472024,Skin Mud Pure Vitamin C Brightening Mask,DAMDAM,48.0
47687,7671750671,5,1.0,0.75,24,6,18,2021-09-29,Recently I had an allergy due to Becca liquid highlighter which  I put on my face. My skin was itchy and burning. I was very worried and upset as normally I never get such a bad reaction. I was also upset as my upper eyelid skin was peeling badly and I invested in so many eyeshadows lately. Like bad luck I can’t use anything now. So I tried lamer cream on my damaged skin and it was amazing that the itching stopped and the skin healed slowly but definitely. I can now actually use the eyeshadows I purchased. Thank God for it. I think this cream is a saver. It’s better than many other creams out there and you need very little. I bought this set from Saks,miracle cream for me,light,brown,combination,black,P475961,Crème de La Mer Duet,La Mer,380.0
5633,28621566690,4,1.0,1.0,2,0,2,2022-07-28,I love this product for when my skin gets too oily and starts breaking out. I notice that it doesn’t dry out my skin too much if I moisturize afterwards. Definitely use a good moisturizer though and wash off after about 5-10 minutes!,,fair,blue,combination,brown,P440933,Mini Clear Improvement Active Charcoal Mask to Clear Pore,Origins,17.0
6778,10723732177,5,1.0,0.0,1,1,0,2021-12-22,Wow! This is a product I hadn’t tried before but have heard a lot about. I personally have tricky skin that is prone to breakouts but also tends to be dry in the winter. I watched the video & tried it out immediately. It’s pretty easy to do. I used it on the low setting. Its pretty powerful even at that! I think the key to using this is to definitely keep it moving constantly. I found the areas around my nose a little hard to “grab” It pulled a TON of dry skin flakes off after 1 use! I’ll be interested to see what weekly use brings.,Powerful,fairLight,green,combination,brown,P398502,Personal Microderm Pro,PMD,199.0
4064,11821691959,4,1.0,1.0,5,0,5,2021-10-02,It’s good for a mineral sunscreen! Very low cast. I didn’t really notice an overall difference in the tone of my skin though like in the before & after pics attached to this listing. Maybe I didn’t apply enough? I’m going to play around with it more and see. Also you want to wait about 5-10 mins after applying your moisturizer before you apply this. It really balled up on me if I applied it too soon after. So far I still prefer the unseen over this. But still a good product!,,mediumTan,brown,oily,black,P476733,Mineral Mattescreen Sunscreen SPF 40 PA+++,Supergoop!,38.0
28388,5998008848,5,1.0,1.0,4,0,4,2021-11-16,Love love these to have on hand in case I don’t get a good night’s rest. They truly brighten around my eyes and make me feel more refreshed . I think they’re pricy so I save them for when I need them most but I’m always SO glad I have them! I don’t travel without them,Amazing for after a sleepless night,lightMedium,brown,dry,brown,P437960,Baggage Claim Rose Gold Eye Masks,Wander Beauty,26.0
39529,6464530100,5,1.0,1.0,5,0,5,2022-08-19,"I know oils aren’t for everyone and I was weary of trying an oil as well because I am prone to little breakouts but wow. for me this oil just made my skin texture so even and soft! my makeup applies 3 million times better over top of this product, there isn’t a primer in the world that could do the work that a few drops of this oil does. if you already know that oils have been a massive no in your skincare routine then maayyybe skip but I’d say it’s so worth a try regardless! a little goes a very long way and it has a very satin matte effect on the skin. I got this as a sample but will absolutely be sticking up with a full size!","if your skin tolerates oil, you need this",lightMedium,brown,normal,brown,P484033,Mini Squalane + Vitamin C Rose Firming Oil,Biossance,40.0
38194,7314337665,5,1.0,1.0,5,0,5,2018-04-18,By far the best Micellar Water I’ve tried. Leaves my skin clean soft and glowing. No residue or unpleasant stickiness or smell. It is absolutely amazing!,I only hate that it’s so expensive,lightMedium,blue,combination,blonde,P417114,The Cleansing Micellar Water,La Mer,95.0
34537,30236840108,5,1.0,1.0,5,0,5,2021-02-04,"I used this today and  I am so glad I did! I have combo skin super bad.I was using another moisturizer which I love,  My T zone has become incredibly oily, I am breaking out, but my cheeks and nose are flaky and dry. I switched both cleanser and day time moisturizer and this was perfect. I used Cetaphil Face Cleanser for redness-prone skin and used this right after. My face feels even from T zone to chin, no excess oil. This awesome moisturizer is super light, easily spreadable, and my skin already feels calmer and lighter. I feel like my skin can breathe with this on, which is exactly what I needed since it’s been so irritated lately. I highly recommend this moisturizer. , it does feel like it did a great job despite the low humidity here. I highly recommend for sensitive/irritated/broken out skin, especially for day use when you need something on the lighter side that will still deliver reliable moisture without causing excess oil. Two thumbs up for this!",,medium,brown,combination,black,P468818,Mini Moisture Surge 100H Auto-Replenishing Hydrator Moisturizer,CLINIQUE,16.0
37894,22101370988,2,0.0,,0,0,0,2023-02-04,I love the way it makes my skin feel- squeaky clean and the smell is not too strong. I wanted to love this entirely but it did make my face breakout. I have oily acne prone skin,,light,hazel,combination,blonde,P433617,Deep Cleansing Foam,Shiseido,36.0
